iter	Logloss
0	0.6808581946
1	0.6698732362
2	0.6581097019
3	0.6485312191
4	0.637061671
5	0.6275035206
6	0.6184468295
7	0.6095083308
8	0.6015840236
9	0.5934537581
10	0.5862955967
11	0.5784958372
12	0.5713631004
13	0.5647369929
14	0.5582441163
15	0.5515899011
16	0.5453911589
17	0.5397274516
18	0.5345672457
19	0.5292283549
20	0.5247146506
21	0.5195599005
22	0.5150258947
23	0.5111605407
24	0.5067053984
25	0.5028867014
26	0.4993559551
27	0.4959129491
28	0.4929243175
29	0.4897263567
30	0.4874874719
31	0.4853055184
32	0.4828575856
33	0.4804396586
34	0.4778955416
35	0.4762157239
36	0.4736355481
37	0.471041932
38	0.4688652647
39	0.4668247766
40	0.4647723135
41	0.462848167
42	0.4607583163
43	0.4586049538
44	0.457332013
45	0.4558536353
46	0.4540918551
47	0.4524910597
48	0.4506434914
49	0.4494054353
50	0.4478769419
51	0.4469636927
52	0.4459098118
53	0.4444135497
54	0.443523168
55	0.4427272892
56	0.4414282474
57	0.4401689656
58	0.438895427
59	0.4377973616
60	0.4366155195
61	0.4352167419
62	0.4343420365
63	0.4330890882
64	0.4323213776
65	0.4313209965
66	0.4307031893
67	0.430017906
68	0.4291627272
69	0.4284729064
70	0.427700355
71	0.4269508685
72	0.4263340091
73	0.4255835616
74	0.4249962313
75	0.4242977187
76	0.4238977686
77	0.4232242265
78	0.4225991107
79	0.4219181553
80	0.421102533
81	0.4206385532
82	0.4199660565
83	0.4196452383
84	0.4189683747
85	0.4188037412
86	0.4182074028
87	0.4177183785
88	0.4170419472
89	0.4167174582
90	0.4161832286
91	0.4158234793
92	0.4154767835
93	0.4149496823
94	0.4144041742
95	0.4140322192
96	0.4136422622
97	0.413088105
98	0.4125131218
99	0.4119260675
100	0.4115533614
101	0.4110896252
102	0.4105736188
103	0.4101230451
104	0.4095731989
105	0.4090697288
106	0.4086541559
107	0.4081175433
108	0.4076547781
109	0.4072489432
110	0.4067469858
111	0.4065406321
112	0.406274386
113	0.4057243418
114	0.4054746879
115	0.4051976825
116	0.4049195773
117	0.404489192
118	0.4040137114
119	0.4037077592
120	0.4034530129
121	0.4031450293
122	0.4027621956
123	0.4025151642
124	0.4020876954
125	0.4018720849
126	0.4015844845
127	0.4012758206
128	0.4010003165
129	0.4007493621
130	0.4005023864
131	0.4002458806
132	0.399950082
133	0.3997154105
134	0.3995136137
135	0.3993247466
136	0.3990308547
137	0.3986163233
138	0.3984430572
139	0.3982768153
140	0.3979369587
141	0.39777617
142	0.3975190228
143	0.3971713654
144	0.396830348
145	0.3967127314
146	0.396404275
147	0.3962587737
148	0.3961085717
149	0.3959195943
150	0.3957224
151	0.3954721701
152	0.3954713321
153	0.395464576
154	0.3950967074
155	0.3948406926
156	0.3944296181
157	0.3942272589
158	0.3939255047
159	0.393538504
160	0.3933652678
161	0.3929899907
162	0.39272497
163	0.3925359162
164	0.3923632145
165	0.392137976
166	0.3920301959
167	0.3919003922
168	0.3917217537
169	0.391683966
170	0.3913095686
171	0.3911370278
172	0.3907921345
173	0.390743991
174	0.3905689675
175	0.3905675364
176	0.3903555762
177	0.3900727026
178	0.3899497259
179	0.3897078035
180	0.3895800858
181	0.3893390074
182	0.3891871228
183	0.3889934371
184	0.388784995
185	0.3886524182
186	0.3886187295
187	0.3884251865
188	0.3883836473
189	0.3882005243
190	0.3880968725
191	0.3878074694
192	0.3877287343
193	0.3874090193
194	0.3872854101
195	0.3870647692
196	0.3869984118
197	0.3868634639
198	0.3867891468
199	0.3864868588
200	0.3863785086
201	0.3862005765
202	0.3859597423
203	0.3858546824
204	0.3856833587
205	0.3855288532
206	0.3852944465
207	0.3852746645
208	0.3849479618
209	0.3848194201
210	0.3847122229
211	0.3846062713
212	0.3845729247
213	0.3844406148
214	0.3843284522
215	0.3842833952
216	0.3841854058
217	0.3841587232
218	0.3839699674
219	0.3838412396
220	0.3838039204
221	0.383702983
222	0.3836087812
223	0.3833951483
224	0.3831586844
225	0.3830312005
226	0.3829220515
227	0.3827970712
228	0.3827835379
229	0.382695097
230	0.3826049615
231	0.3825410794
232	0.382394598
233	0.3821039378
234	0.3821029375
235	0.3820563173
236	0.3819270239
237	0.3818027169
238	0.3816314956
239	0.3815679953
240	0.3814921906
241	0.381410578
242	0.3812963121
243	0.3811416369
244	0.380963175
245	0.3809090699
246	0.3808168713
247	0.3807725087
248	0.3805555061
249	0.3804583923
250	0.3803664961
251	0.3802825356
252	0.3801339469
253	0.3800321663
254	0.3797493462
255	0.3797237708
256	0.3796044253
257	0.3794571744
258	0.3794248226
259	0.3792590198
260	0.3788830542
261	0.3786516058
262	0.37858799
263	0.378473698
264	0.3783231056
265	0.3782007821
266	0.3781450113
267	0.377999671
268	0.3778923735
269	0.3777490076
270	0.3775582244
271	0.3775029515
272	0.3774368864
273	0.3773834369
274	0.3771814749
275	0.3771723529
276	0.3769637514
277	0.3768051374
278	0.3766750304
279	0.3766499589
280	0.3766137193
281	0.3766098282
282	0.3764595683
283	0.3763601581
284	0.3760889457
285	0.3760706308
286	0.3760673849
287	0.3760518066
288	0.3757924773
289	0.375612716
290	0.3753582588
291	0.3752875577
292	0.375200619
293	0.3750626092
294	0.3750355988
295	0.3750215998
296	0.3749636082
297	0.3748738442
298	0.3747231422
299	0.3746014532
300	0.3745536595
301	0.3742524931
302	0.3741257186
303	0.3739894834
304	0.3739139501
305	0.3738757031
306	0.3738756943
307	0.3736857358
308	0.3733915824
309	0.3731871663
310	0.3730934963
311	0.3729362436
312	0.3728761746
313	0.3727288365
314	0.3725512533
315	0.3724200087
316	0.3722985211
317	0.3722374163
318	0.3720656256
319	0.3719163906
320	0.3717817931
321	0.3715512909
322	0.3715070352
323	0.3715070057
324	0.3715066488
325	0.3714812937
326	0.3714637256
327	0.3714415068
328	0.3714414767
329	0.3713186475
330	0.3713182597
331	0.3711331247
332	0.3710119776
333	0.3708573466
334	0.3705331293
335	0.3703242089
336	0.3702064787
337	0.3701434322
338	0.3700483575
339	0.3699523943
340	0.3697151331
341	0.3695195376
342	0.3693353952
343	0.3691808653
344	0.3690811391
345	0.3689268461
346	0.3687958202
347	0.3686591197
348	0.3685408233
349	0.3683641263
350	0.3683606591
351	0.3682805585
352	0.3682305613
353	0.3680104489
354	0.3680061686
355	0.3679611937
356	0.3678649163
357	0.3677706058
358	0.3676705902
359	0.3676550822
360	0.3676417154
361	0.3675868456
362	0.3675138392
363	0.367452488
364	0.3672813778
365	0.3672156705
366	0.3670659596
367	0.3668905126
368	0.3667061424
369	0.366561155
370	0.3665019129
371	0.3664309733
372	0.366330403
373	0.3661460921
374	0.3660873136
375	0.3660762744
376	0.3659654914
377	0.3659119606
378	0.365902473
379	0.365749204
380	0.3656702244
381	0.3653421857
382	0.3653421443
383	0.3651758104
384	0.3651132324
385	0.3649055377
386	0.364905387
387	0.3649053643
388	0.3648278684
389	0.3647076943
390	0.3647013414
391	0.3645910399
392	0.3644411215
393	0.3643902582
394	0.3643730602
395	0.3641681273
396	0.3639226649
397	0.3635464577
398	0.3634363347
399	0.3633462834
400	0.3633314335
401	0.3632910547
402	0.3632438608
403	0.3630534762
404	0.3629450597
405	0.3629209724
406	0.362857253
407	0.3627009049
408	0.3625751887
409	0.3625172552
410	0.3622412057
411	0.3620014913
412	0.3618333714
413	0.3617228283
414	0.3613812666
415	0.3610080058
416	0.3607681271
417	0.3606099694
418	0.3604224605
419	0.36037993
420	0.3602213262
421	0.3600974514
422	0.3600311687
423	0.3598356661
424	0.3597756689
425	0.3596416551
426	0.3595100864
427	0.3594028969
