iter	Passed	Remaining
0	54	65669
1	58	34947
2	65	26286
3	68	20611
4	75	17990
5	81	16297
6	85	14574
7	92	13716
8	96	12801
9	101	12126
10	105	11403
11	111	11029
12	117	10766
13	124	10524
14	130	10326
15	136	10136
16	143	9957
17	149	9796
18	155	9655
19	161	9510
20	165	9299
21	172	9215
22	179	9160
23	185	9098
24	192	9024
25	198	8951
26	203	8859
27	210	8826
28	218	8805
29	224	8754
30	227	8571
31	230	8428
32	236	8367
33	240	8256
34	247	8237
35	251	8125
36	257	8100
37	263	8067
38	270	8058
39	276	8010
40	283	8011
41	290	8002
42	296	7988
43	304	7987
44	309	7954
45	316	7944
46	323	7936
47	330	7920
48	336	7907
49	343	7902
50	350	7887
51	353	7805
52	360	7791
53	366	7782
54	372	7756
55	377	7712
56	383	7688
57	390	7683
58	397	7678
59	404	7681
60	410	7667
61	417	7667
62	424	7658
63	431	7651
64	438	7655
65	445	7655
66	453	7667
67	461	7687
68	468	7687
69	475	7671
70	482	7666
71	488	7657
72	496	7659
73	503	7661
74	512	7688
75	520	7691
76	525	7669
77	534	7685
78	542	7693
79	549	7693
80	556	7690
81	563	7681
82	569	7666
83	576	7654
84	582	7644
85	586	7602
86	593	7596
87	600	7587
88	607	7578
89	613	7564
90	619	7554
91	626	7550
92	634	7553
93	641	7551
94	648	7537
95	654	7525
96	661	7527
97	670	7536
98	682	7587
99	689	7583
100	696	7578
101	704	7585
102	711	7579
103	718	7570
104	725	7564
105	732	7557
106	738	7548
107	745	7539
108	752	7534
109	759	7528
110	766	7523
111	773	7515
112	780	7509
113	787	7498
114	793	7490
115	800	7482
116	807	7472
117	814	7464
118	820	7454
119	827	7445
120	833	7435
121	840	7427
122	847	7423
123	854	7416
124	861	7410
125	869	7409
126	877	7412
127	884	7406
128	891	7398
129	898	7391
130	904	7383
131	914	7395
132	920	7386
133	927	7378
134	933	7364
135	941	7362
136	948	7359
137	955	7355
138	963	7355
139	970	7347
140	977	7344
141	984	7334
142	991	7332
143	999	7329
144	1006	7325
145	1014	7321
146	1021	7319
147	1029	7316
148	1036	7310
149	1043	7306
150	1051	7303
151	1058	7296
152	1060	7256
153	1064	7228
154	1074	7242
155	1082	7246
156	1091	7249
157	1098	7243
158	1105	7240
159	1113	7238
160	1121	7234
161	1128	7231
162	1136	7227
163	1142	7217
164	1148	7205
165	1156	7200
166	1163	7194
167	1170	7189
168	1178	7186
169	1182	7167
170	1189	7159
171	1196	7152
172	1204	7148
173	1207	7118
174	1214	7110
175	1216	7080
176	1223	7074
177	1230	7067
178	1237	7060
179	1244	7054
180	1251	7045
181	1259	7044
182	1266	7040
183	1275	7043
184	1282	7035
185	1289	7032
186	1293	7005
187	1300	6999
188	1305	6981
189	1311	6974
190	1318	6964
191	1325	6957
192	1331	6948
193	1338	6940
194	1344	6930
195	1351	6925
196	1358	6916
197	1366	6912
198	1373	6909
199	1380	6900
200	1386	6893
201	1393	6885
202	1404	6900
203	1411	6891
204	1418	6883
205	1425	6880
206	1433	6874
207	1437	6856
208	1445	6853
209	1452	6848
210	1460	6845
211	1468	6844
212	1473	6827
213	1481	6824
214	1488	6818
215	1495	6812
216	1502	6806
217	1506	6787
218	1513	6779
219	1520	6771
220	1527	6765
221	1534	6758
222	1541	6751
223	1547	6744
224	1554	6737
225	1561	6730
226	1569	6727
227	1577	6723
228	1580	6699
229	1587	6693
230	1595	6691
231	1602	6684
232	1608	6675
233	1615	6669
234	1618	6644
235	1625	6638
236	1632	6631
237	1639	6625
238	1646	6620
239	1653	6613
240	1662	6615
241	1670	6612
242	1678	6611
243	1688	6615
244	1695	6610
245	1702	6602
246	1708	6592
247	1715	6583
248	1722	6577
249	1729	6572
250	1737	6568
251	1746	6568
252	1754	6567
253	1762	6565
254	1770	6562
255	1775	6548
256	1783	6543
257	1791	6541
258	1799	6539
259	1807	6536
260	1815	6532
261	1823	6527
262	1831	6523
263	1838	6519
264	1846	6515
265	1854	6510
266	1862	6508
267	1871	6507
268	1880	6507
269	1888	6504
270	1901	6519
271	1909	6513
272	1917	6509
273	1925	6507
274	1934	6508
275	1940	6497
276	1951	6501
277	1959	6498
278	1967	6493
279	1971	6478
280	1979	6475
281	1982	6453
282	1990	6450
283	1999	6448
284	2008	6447
285	2014	6437
286	2018	6421
287	2023	6407
288	2031	6402
289	2039	6398
290	2046	6394
291	2054	6387
292	2061	6382
293	2070	6380
294	2078	6376
295	2081	6356
296	2088	6349
297	2094	6339
298	2101	6333
299	2108	6326
300	2115	6319
301	2122	6310
302	2129	6303
303	2136	6298
304	2143	6291
305	2151	6285
306	2153	6263
307	2160	6256
308	2167	6250
309	2175	6244
310	2182	6237
311	2188	6230
312	2195	6222
313	2203	6216
314	2210	6211
315	2218	6205
316	2225	6200
317	2232	6193
318	2242	6193
319	2251	6192
320	2260	6190
321	2269	6187
322	2278	6186
323	2280	6166
324	2283	6147
325	2291	6144
326	2297	6134
327	2302	6121
328	2304	6101
329	2313	6098
330	2316	6082
331	2324	6076
332	2332	6072
333	2340	6069
334	2348	6063
335	2356	6058
336	2365	6058
337	2373	6052
338	2384	6057
339	2391	6049
340	2399	6044
341	2407	6040
342	2415	6034
343	2422	6029
344	2430	6023
345	2437	6016
346	2445	6010
347	2453	6006
348	2461	6002
349	2470	5998
350	2474	5985
351	2482	5980
352	2491	5977
353	2499	5973
354	2503	5959
355	2511	5953
356	2519	5949
357	2527	5944
358	2535	5938
359	2542	5932
360	2547	5920
361	2555	5914
362	2559	5902
363	2567	5896
364	2574	5890
365	2582	5884
366	2589	5877
367	2596	5870
368	2606	5869
369	2615	5868
370	2623	5861
371	2633	5861
372	2642	5857
373	2652	5857
374	2660	5853
375	2665	5842
376	2674	5839
377	2685	5840
378	2690	5827
379	2698	5823
380	2706	5817
381	2713	5810
382	2715	5792
383	2722	5785
384	2730	5779
385	2736	5771
386	2739	5754
387	2741	5736
388	2747	5728
389	2754	5720
